week,channel,age_group,weekly_budget_total_inr,seasonality_base,seasonality_factor_channel,spend_inr,impressions,clicks,cpc_inr,ctr,conversion_rate,conversions,avg_order_value_inr,revenue_inr,cpm_inr,roi
3,Instagram Ads,18-34,120000.0,1.0477,1.0143,11476.38,9868,474,24.18,0.0481,0.0382,6,819.14,4914.82,1162.9,-0.5717
3,Instagram Ads,35-54,120000.0,1.0477,1.0143,3845.04,3972,167,22.94,0.0422,0.02,3,1037.29,3111.88,967.91,-0.1907
3,Instagram Ads,55+,120000.0,1.0477,1.0143,1684.58,1486,77,21.87,0.0518,0.0213,2,1106.69,2213.38,1133.23,0.3139
3,Facebook Ads,18-34,120000.0,1.0477,1.0119,5477.3,9785,367,14.92,0.0375,0.0321,16,931.21,14899.41,559.71,1.7202
3,Facebook Ads,35-54,120000.0,1.0477,1.0119,9962.15,20393,720,13.84,0.0353,0.0286,11,808.15,8889.62,488.51,-0.1077
3,Facebook Ads,55+,120000.0,1.0477,1.0119,7915.94,15486,579,13.67,0.0374,0.0405,9,897.36,8076.28,511.14,0.0203
3,YouTube Ads,18-34,120000.0,1.0477,1.0143,8476.33,59893,714,11.87,0.0119,0.0311,12,937.46,11249.49,141.52,0.3272
3,YouTube Ads,35-54,120000.0,1.0477,1.0143,4234.04,31299,358,11.81,0.0115,0.0175,4,741.95,2967.81,135.28,-0.2991
3,YouTube Ads,55+,120000.0,1.0477,1.0143,1212.46,8260,94,12.77,0.0115,0.0163,2,1005.82,2011.63,146.78,0.6591
3,Influencer Marketing,18-34,120000.0,1.0477,1.0167,9578.89,5288,302,31.65,0.0572,0.0768,15,1377.75,20666.26,1811.36,1.1575
3,Influencer Marketing,35-54,120000.0,1.0477,1.0167,3259.46,1729,99,32.71,0.0576,0.0507,4,1234.26,4937.05,1884.82,0.5147
3,Influencer Marketing,55+,120000.0,1.0477,1.0167,788.87,0,0,31.28,0.0577,0.0,0,1296.0,0.0,0.0,0.0
3,Email,18-34,120000.0,1.0477,1.0095,4289.51,11088,847,5.06,0.0764,0.0548,28,814.76,22813.28,386.84,4.3184
3,Email,35-54,120000.0,1.0477,1.0095,7199.83,19320,1416,5.08,0.0733,0.0424,20,763.91,15278.13,372.65,1.122
3,Email,55+,120000.0,1.0477,1.0095,6315.61,17850,1322,4.78,0.0741,0.0631,51,959.12,48915.09,353.8,6.7451
3,Display Ads,18-34,120000.0,1.0477,1.0143,6189.83,52911,513,12.05,0.0097,0.0058,1,857.33,857.33,116.98,-0.8615
3,Display Ads,35-54,120000.0,1.0477,1.0143,3598.31,32643,302,11.91,0.0093,0.0054,1,838.31,838.31,110.23,-0.767
3,Display Ads,55+,120000.0,1.0477,1.0143,2022.76,18049,164,12.32,0.0091,0.0095,1,984.99,984.99,112.07,-0.513
4,Google Search Ads,18-34,120000.0,0.9589,0.9938,6715.41,7105,205,32.75,0.0289,0.0388,4,904.9,3619.59,945.16,-0.461
4,Google Search Ads,35-54,120000.0,0.9589,0.9938,8575.99,7242,233,36.74,0.0322,0.0492,2,899.55,1799.1,1184.2,-0.7902
4,Google Search Ads,55+,120000.0,0.9589,0.9938,4293.82,3797,128,33.49,0.0338,0.0349,1,1316.45,1316.45,1130.67,-0.6934
4,Instagram Ads,18-34,120000.0,0.9589,0.9877,14356.59,19671,980,14.64,0.0499,0.0281,17,689.1,11714.71,729.83,-0.184
4,Instagram Ads,35-54,120000.0,0.9589,0.9877,5047.84,6929,365,13.81,0.0528,0.0179,5,1079.46,5397.3,728.47,0.0692
4,Instagram Ads,55+,120000.0,0.9589,0.9877,1839.44,2799,137,13.35,0.0492,0.0149,3,867.04,2601.13,656.99,0.4141
4,Facebook Ads,18-34,120000.0,0.9589,0.9897,4093.25,15036,438,9.34,0.0291,0.0226,8,978.43,7827.47,272.22,0.9123
4,Facebook Ads,35-54,120000.0,0.9589,0.9897,10445.14,36215,1092,9.57,0.0302,0.0256,14,882.61,12356.59,288.42,0.183
4,Facebook Ads,55+,120000.0,0.9589,0.9897,4674.64,16005,483,9.67,0.0302,0.0113,2,922.49,1844.97,292.06,-0.6053
4,YouTube Ads,18-34,120000.0,0.9589,0.9877,10860.45,108334,1150,9.44,0.0106,0.0212,14,1038.89,14544.49,100.25,0.3392
4,YouTube Ads,35-54,120000.0,0.9589,0.9877,5698.7,46555,570,9.99,0.0123,0.0146,3,827.32,2481.97,122.41,-0.5645
4,YouTube Ads,55+,120000.0,0.9589,0.9877,1814.96,16191,203,8.93,0.0126,0.013,5,1064.78,5323.89,112.09,1.9333
4,Influencer Marketing,18-34,120000.0,0.9589,0.9856,15154.67,11757,460,32.91,0.0392,0.0503,21,1284.61,26976.86,1288.92,0.7801
4,Influencer Marketing,35-54,120000.0,0.9589,0.9856,3631.52,2457,110,32.91,0.0449,0.0476,6,1070.21,6421.27,1477.6,0.7682
4,Influencer Marketing,55+,120000.0,0.9589,0.9856,1498.08,1008,44,33.6,0.0442,0.0393,0,1326.41,0.0,1485.56,-1.0
4,Email,18-34,120000.0,0.9589,0.9918,3047.58,6340,600,5.07,0.0948,0.0464,15,847.12,12706.86,480.69,3.1695
4,Email,35-54,120000.0,0.9589,0.9918,4772.07,11298,1112,4.29,0.0985,0.0126,12,791.62,9499.43,422.36,0.9906
4,Email,55+,120000.0,0.9589,0.9918,3828.1,8291,849,4.51,0.1025,0.0627,25,851.56,21288.89,461.7,4.5612
4,Display Ads,18-34,120000.0,0.9589,0.9877,4984.47,60539,526,9.47,0.0087,0.0056,2,756.58,1513.16,82.33,-0.6964
4,Display Ads,35-54,120000.0,0.9589,0.9877,2750.34,34122,303,9.06,0.0089,0.0138,2,885.73,1771.46,80.6,-0.3559
4,Display Ads,55+,120000.0,0.9589,0.9877,1916.94,21019,203,9.4,0.0097,0.0067,4,976.43,3905.73,91.2,1.0375
5,Google Search Ads,18-34,124558.94,1.3219,1.0483,8411.61,7577,268,31.38,0.0354,0.0562,8,1236.58,9892.61,1110.04,0.1761
5,Google Search Ads,35-54,124558.94,1.3219,1.0483,7633.16,7356,262,29.04,0.0357,0.0611,10,905.92,9059.21,1037.55,0.1868
5,Google Search Ads,55+,124558.94,1.3219,1.0483,4602.15,4616,155,29.67,0.0336,0.0449,5,1448.98,7244.9,996.82,0.5742
5,Instagram Ads,18-34,124558.94,1.3219,1.0966,20088.04,31762,1204,16.67,0.0379,0.0286,11,971.57,10687.24,632.45,-0.468
5,Instagram Ads,35-54,124558.94,1.3219,1.0966,6135.39,8931,336,18.22,0.0377,0.0421,8,910.9,7287.22,686.92,0.1877
5,Instagram Ads,55+,124558.94,1.3219,1.0966,2181.88,3130,133,16.31,0.0427,0.0181,0,1090.59,0.0,696.87,-1.0
5,Facebook Ads,18-34,124558.94,1.3219,1.0805,5000.45,9058,367,13.59,0.0406,0.0209,6,854.81,5128.88,552.0,0.0257
5,Facebook Ads,35-54,124558.94,1.3219,1.0805,8167.2,13528,505,16.15,0.0374,0.0249,4,918.21,3672.84,603.7,-0.5503
5,Facebook Ads,55+,124558.94,1.3219,1.0805,5505.08,9917,343,16.04,0.0346,0.0246,6,915.04,5490.25,555.1,-0.0027
5,YouTube Ads,18-34,124558.94,1.3219,1.0966,7865.34,110638,993,7.92,0.009,0.0573,39,900.59,35123.17,71.09,3.4656
5,YouTube Ads,35-54,124558.94,1.3219,1.0966,4047.32,59797,539,7.51,0.009,0.037,17,1149.43,19540.34,67.68,3.828
5,YouTube Ads,55+,124558.94,1.3219,1.0966,1318.96,18717,174,7.55,0.0093,0.0217,6,1015.9,6095.38,70.47,3.6213
5,Influencer Marketing,18-34,124558.94,1.3219,1.1127,6400.02,5931,237,26.99,0.04,0.0858,8,1234.21,9873.7,1078.98,0.5428
5,Influencer Marketing,35-54,124558.94,1.3219,1.1127,1466.93,1353,54,26.68,0.0406,0.0879,0,987.48,0.0,1084.04,-1.0
5,Influencer Marketing,55+,124558.94,1.3219,1.1127,662.54,0,0,26.97,0.0391,0.0,0,1296.0,0.0,0.0,0.0
5,Email,18-34,124558.94,1.3219,1.0644,6498.67,22642,1302,4.99,0.0575,0.0398,29,760.78,22062.67,287.01,2.395
5,Email,35-54,124558.94,1.3219,1.0644,10642.49,35829,2000,5.32,0.0558,0.0673,67,913.06,61174.77,297.03,4.7482
5,Email,55+,124558.94,1.3219,1.0644,8084.02,27168,1527,5.29,0.0562,0.0628,67,886.14,59371.1,297.55,6.3443
5,Display Ads,18-34,124558.94,1.3219,1.0966,4218.25,63831,422,9.98,0.0066,0.0093,6,869.74,5218.42,66.08,0.2371
5,Display Ads,35-54,124558.94,1.3219,1.0966,3579.9,59506,349,10.25,0.0059,0.009,0,869.27,0.0,60.16,-1.0
5,Display Ads,55+,124558.94,1.3219,1.0966,2049.51,30077,191,10.7,0.0064,0.0071,4,862.35,3449.4,68.14,0.683
6,Google Search Ads,18-34,124474.81,1.0488,1.0073,10259.66,9734,321,31.94,0.033,0.038,5,919.15,4595.75,1053.95,-0.5521
6,Google Search Ads,35-54,124474.81,1.0488,1.0073,11068.83,11308,332,33.32,0.0294,0.0689,17,1089.17,18515.86,978.77,0.6728
6,Google Search Ads,55+,124474.81,1.0488,1.0073,5883.16,5373,176,33.28,0.0329,0.0547,9,1202.93,10826.39,1094.77,0.8402
6,Instagram Ads,18-34,124474.81,1.0488,1.0146,15037.95,15344,796,18.89,0.0519,0.0369,16,811.38,12982.12,980.05,-0.1367
6,Instagram Ads,35-54,124474.81,1.0488,1.0146,5473.03,5436,273,20.03,0.0503,0.0336,5,794.57,3972.85,1006.63,-0.2741
6,Instagram Ads,55+,124474.81,1.0488,1.0146,2087.87,1776,94,22.13,0.0531,0.0254,2,778.56,1557.12,1174.97,-0.2542
6,Facebook Ads,18-34,124474.81,1.0488,1.0122,3919.33,9309,291,13.42,0.0314,0.0273,2,770.85,1541.7,420.98,-0.6066
6,Facebook Ads,35-54,124474.81,1.0488,1.0122,6499.22,14696,459,14.15,0.0312,0.0258,5,893.69,4468.47,442.24,-0.3125
6,Facebook Ads,55+,124474.81,1.0488,1.0122,4626.54,11187,341,13.54,0.0305,0.0323,8,880.86,7046.84,413.56,0.5231
6,YouTube Ads,18-34,124474.81,1.0488,1.0146,12363.06,103145,1153,10.72,0.0112,0.0222,15,800.66,12009.92,119.86,-0.0286
6,YouTube Ads,35-54,124474.81,1.0488,1.0146,6764.72,50755,544,12.42,0.0107,0.0251,11,821.96,9041.58,133.28,0.3366
6,YouTube Ads,55+,124474.81,1.0488,1.0146,2200.84,18990,193,11.37,0.0102,0.0159,3,1100.18,3300.54,115.89,0.4997
6,Influencer Marketing,18-34,124474.81,1.0488,1.0171,10458.55,7677,497,21.03,0.0648,0.0519,17,1323.65,22502.02,1362.19,1.1515
6,Influencer Marketing,35-54,124474.81,1.0488,1.0171,3439.23,2393,161,21.31,0.0674,0.0303,2,1302.11,2604.22,1437.11,-0.2428
6,Influencer Marketing,55+,124474.81,1.0488,1.0171,1291.13,868,58,21.95,0.0677,0.0496,2,1347.63,2695.26,1486.47,1.0875
6,Email,18-34,124474.81,1.0488,1.0098,3015.39,6311,712,4.23,0.1128,0.0442,23,836.31,19235.11,477.76,5.379
6,Email,35-54,124474.81,1.0488,1.0098,3827.27,8275,882,4.34,0.1067,0.0703,40,867.0,34679.9,462.49,8.0613
6,Email,55+,124474.81,1.0488,1.0098,4104.94,8144,919,4.46,0.1129,0.0519,26,828.25,21534.41,504.04,4.246
6,Display Ads,18-34,124474.81,1.0488,1.0146,5981.31,68313,634,9.42,0.0093,0.009,4,1095.86,4383.44,87.56,-0.2671
6,Display Ads,35-54,124474.81,1.0488,1.0146,3795.04,41325,382,9.92,0.0093,0.0078,2,922.71,1845.42,91.83,-0.5137
6,Display Ads,55+,124474.81,1.0488,1.0146,2377.74,25796,257,9.24,0.01,0.0093,3,944.01,2832.02,92.17,0.1911
7,Google Search Ads,18-34,134648.69,0.9698,0.9955,12516.08,9477,395,31.61,0.0418,0.0288,6,1064.1,6384.59,1320.57,-0.4899
7,Google Search Ads,35-54,134648.69,0.9698,0.9955,11345.39,9761,369,30.72,0.0378,0.0588,10,1009.49,10094.87,1162.21,-0.1102
7,Google Search Ads,55+,134648.69,0.9698,0.9955,5923.86,4521,188,31.5,0.0416,0.0623,8,1001.95,8015.61,1310.23,0.3531
7,Instagram Ads,18-34,134648.69,0.9698,0.9909,17514.21,37387,971,18.03,0.026,0.0379,23,971.29,22339.73,468.45,0.2755
7,Instagram Ads,35-54,134648.69,0.9698,0.9909,6519.41,13739,338,19.26,0.0246,0.0177,8,894.84,7158.75,474.52,0.0981
7,Instagram Ads,55+,134648.69,0.9698,0.9909,2417.66,4926,118,20.47,0.024,0.0231,2,957.26,1914.51,490.73,-0.2081
7,Facebook Ads,18-34,134648.69,0.9698,0.9925,5660.33,9526,318,17.75,0.0335,0.0185,7,999.34,6995.39,594.16,0.2359
7,Facebook Ads,35-54,134648.69,0.9698,0.9925,8286.19,16496,501,16.52,0.0304,0.0259,9,872.38,7851.46,502.29,-0.0525
7,Facebook Ads,55+,134648.69,0.9698,0.9925,6679.7,12316,401,16.64,0.0326,0.0116,5,873.56,4367.78,542.36,-0.3461
7,YouTube Ads,18-34,134648.69,0.9698,0.9909,8042.0,90315,795,10.11,0.0088,0.0283,15,1048.45,15726.75,89.04,0.9556
7,YouTube Ads,35-54,134648.69,0.9698,0.9909,4138.72,44336,399,10.36,0.009,0.0192,6,942.3,5653.81,93.35,0.3661
7,YouTube Ads,55+,134648.69,0.9698,0.9909,1373.01,16541,133,10.25,0.0081,0.0157,0,1061.98,0.0,83.0,-1.0
7,Influencer Marketing,18-34,134648.69,0.9698,0.9894,12756.68,10005,378,33.73,0.0378,0.1121,34,1283.36,43634.38,1274.98,2.4205
7,Influencer Marketing,35-54,134648.69,0.9698,0.9894,3211.55,2476,94,34.02,0.0381,0.037,2,1206.31,2412.61,1297.05,-0.2488
7,Influencer Marketing,55+,134648.69,0.9698,0.9894,1294.35,1029,36,34.99,0.0359,0.0487,3,1540.86,4622.57,1257.17,2.5713
7,Email,18-34,134648.69,0.9698,0.994,2997.93,7660,679,4.41,0.0888,0.0195,8,891.75,7134.0,391.33,1.3796
7,Email,35-54,134648.69,0.9698,0.994,4852.9,13663,1301,3.73,0.0952,0.0415,27,760.62,20536.7,355.18,3.2318
7,Email,55+,134648.69,0.9698,0.994,3516.87,8916,863,4.07,0.0968,0.0568,26,758.99,19733.83,394.41,4.6112
7,Display Ads,18-34,134648.69,0.9698,0.9909,6797.42,57678,533,12.75,0.0092,0.0076,2,873.16,1746.31,117.85,-0.7431
7,Display Ads,35-54,134648.69,0.9698,0.9909,5292.08,44096,436,12.12,0.0099,0.0056,2,902.22,1804.44,120.01,-0.659
7,Display Ads,55+,134648.69,0.9698,0.9909,3512.34,26222,280,12.51,0.0107,0.0065,1,881.8,881.8,133.94,-0.7489
8,Google Search Ads,18-34,228420.0,1.0412,1.0062,14398.97,14642,515,27.91,0.0352,0.0296,11,950.3,10453.35,983.39,-0.274
8,Google Search Ads,35-54,228420.0,1.0412,1.0062,11145.53,11995,362,30.75,0.0302,0.0269,6,1245.85,7475.1,929.16,-0.3293
8,Google Search Ads,55+,228420.0,1.0412,1.0062,8144.17,8425,266,30.51,0.0317,0.0395,10,1203.94,12039.43,966.61,0.4783
8,Instagram Ads,18-34,228420.0,1.0412,1.0124,36998.86,54906,2465,15.01,0.0449,0.0557,94,992.65,93308.94,673.85,1.5219
8,Instagram Ads,35-54,228420.0,1.0412,1.0124,11395.9,11772,576,19.76,0.049,0.0276,5,899.38,4496.91,967.98,-0.6054
8,Instagram Ads,55+,228420.0,1.0412,1.0124,4569.06,5228,262,17.42,0.0501,0.022,1,941.15,941.15,873.84,-0.794
8,Facebook Ads,18-34,228420.0,1.0412,1.0103,8460.01,18824,620,13.64,0.0329,0.0147,4,870.2,3480.79,449.41,-0.5886
8,Facebook Ads,35-54,228420.0,1.0412,1.0103,16030.02,38501,1172,13.67,0.0305,0.0201,14,874.48,12242.7,416.34,-0.2363
8,Facebook Ads,55+,228420.0,1.0412,1.0103,6158.46,14230,467,13.18,0.0328,0.0183,9,1078.51,9706.62,432.77,0.5761
8,YouTube Ads,18-34,228420.0,1.0412,1.0124,21094.98,195598,2032,10.38,0.0104,0.0168,16,800.96,12815.3,107.85,-0.3925
8,YouTube Ads,35-54,228420.0,1.0412,1.0124,8858.84,77671,818,10.82,0.0105,0.0189,7,850.0,5950.0,114.06,-0.3284
8,YouTube Ads,55+,228420.0,1.0412,1.0124,3400.83,32147,333,10.21,0.0104,0.0101,1,1036.82,1036.82,105.79,-0.6951
8,Influencer Marketing,18-34,228420.0,1.0412,1.0144,18023.04,11848,527,34.19,0.0445,0.0471,12,1111.17,13333.99,1521.09,-0.2602
8,Influencer Marketing,35-54,228420.0,1.0412,1.0144,4265.54,2778,127,33.55,0.0458,0.0416,1,1098.78,1098.78,1535.46,-0.7424
8,Influencer Marketing,55+,228420.0,1.0412,1.0144,1654.18,1001,48,34.33,0.0481,0.0265,3,1327.21,3981.63,1651.06,1.407
8,Email,18-34,228420.0,1.0412,1.0082,6445.06,17101,1355,4.75,0.0793,0.0461,34,881.82,29981.79,376.87,3.6519
8,Email,35-54,228420.0,1.0412,1.0082,9549.25,24071,2069,4.62,0.086,0.0426,58,921.52,53448.38,396.7,4.5971
8,Email,55+,228420.0,1.0412,1.0082,8603.18,23685,1857,4.63,0.0784,0.0199,18,967.79,17420.15,363.23,1.0248
8,Display Ads,18-34,228420.0,1.0412,1.0124,11616.38,116924,672,17.27,0.0058,0.0095,1,811.14,811.14,99.35,-0.9302
8,Display Ads,35-54,228420.0,1.0412,1.0124,10693.13,129098,723,14.78,0.0056,0.012,3,931.04,2793.11,82.83,-0.7388
8,Display Ads,55+,228420.0,1.0412,1.0124,6914.59,69476,404,17.1,0.0058,0.0108,0,787.88,0.0,99.52,-1.0
9,Google Search Ads,18-34,198298.55,1.0058,1.0009,17843.95,15094,731,24.41,0.0484,0.0284,15,1096.59,16448.81,1182.12,-0.0782
9,Google Search Ads,35-54,198298.55,1.0058,1.0009,17428.06,13899,669,26.04,0.0481,0.0421,23,882.36,20294.27,1253.87,0.1645
9,Google Search Ads,55+,198298.55,1.0058,1.0009,8546.14,6489,308,27.73,0.0475,0.0398,2,1086.65,2173.3,1316.94,-0.7457
9,Instagram Ads,18-34,198298.55,1.0058,1.0017,32471.07,37988,1728,18.79,0.0455,0.0473,42,855.63,35936.32,854.76,0.1067
9,Instagram Ads,35-54,198298.55,1.0058,1.0017,11384.66,14134,690,16.48,0.0489,0.0463,16,1038.9,16622.35,805.44,0.4601
9,Instagram Ads,55+,198298.55,1.0058,1.0017,3925.75,4762,228,17.21,0.0479,0.0251,9,940.94,8468.42,824.3,1.1571
9,Facebook Ads,18-34,198298.55,1.0058,1.0015,4860.35,7284,339,14.34,0.0465,0.0243,6,788.41,4730.48,667.18,-0.0267
9,Facebook Ads,35-54,198298.55,1.0058,1.0015,9757.77,15553,694,14.06,0.0446,0.0219,6,798.09,4788.53,627.36,-0.5093
9,Facebook Ads,55+,198298.55,1.0058,1.0015,5206.51,8891,374,13.92,0.0421,0.0226,4,736.15,2944.61,585.55,-0.4344
9,YouTube Ads,18-34,198298.55,1.0058,1.0017,16564.05,105431,1465,11.3,0.0139,0.0199,20,996.56,19931.27,157.11,0.2033
9,YouTube Ads,35-54,198298.55,1.0058,1.0017,7401.83,46110,636,11.62,0.0138,0.0113,3,1116.92,3350.76,160.52,-0.5473
9,YouTube Ads,55+,198298.55,1.0058,1.0017,3103.8,19084,254,12.21,0.0133,0.0091,0,846.2,0.0,162.64,-1.0
9,Influencer Marketing,18-34,198298.55,1.0058,1.002,16216.65,9790,575,28.2,0.0587,0.0753,32,1120.21,35846.79,1656.44,1.2105
9,Influencer Marketing,35-54,198298.55,1.0058,1.002,3834.27,2265,132,28.87,0.0586,0.0694,7,1108.0,7755.98,1692.78,1.0228
9,Influencer Marketing,55+,198298.55,1.0058,1.002,1578.23,857,52,29.88,0.0616,0.0612,3,1141.01,3423.02,1839.72,1.1689
9,Email,18-34,198298.55,1.0058,1.0012,5622.9,9716,1011,5.56,0.1041,0.0424,22,719.39,15826.62,578.68,1.8147
9,Email,35-54,198298.55,1.0058,1.0012,7853.31,14750,1479,5.31,0.1003,0.0624,59,807.18,47623.71,532.42,5.0642
9,Email,55+,198298.55,1.0058,1.0012,7744.0,13530,1360,5.69,0.1005,0.0784,58,937.62,54382.12,572.32,6.0225
9,Display Ads,18-34,198298.55,1.0058,1.0017,7052.73,130017,810,8.7,0.0062,0.0108,4,754.3,3017.19,54.24,-0.5722
9,Display Ads,35-54,198298.55,1.0058,1.0017,6178.32,137020,725,8.52,0.0053,0.01,4,957.24,3828.95,45.09,-0.3803
9,Display Ads,55+,198298.55,1.0058,1.0017,3724.21,59677,398,9.34,0.0067,0.0063,1,923.69,923.69,62.41,-0.752
10,Google Search Ads,18-34,185352.37,0.8783,0.9817,15816.32,17819,676,23.37,0.038,0.0351,16,950.18,15202.88,887.59,-0.0388
